Abkhazia,Sukhumi,Gali,Gagra,Gudauta
Afghanistan,Kabul,Herat,Kandahar,Mazar-i-Sharif
Akrotiri and Dhekelia,Episkopi Cantonment,Limassol,Ayios Nikolaos,Ayia Napa
Åland Islands,Mariehamn,Finström,Jomala,Lemland
Albania,Tirana,Vlorë,Durrës,Elbasan
Algeria,Algiers,Constantine,Oran,Boumerdas
American Samoa,Pago Pago,Tafuna,Leone,Faleniu
Andorra,Andorra la Vella,Encamp,Les Escaldes,La Massana
Angola,Luanda,Lobito,Huambo,Benguela
Anguilla,The Valley,North Side,Blowing Point Village,Sandy Ground Village
Antigua and Barbuda,St. John's,Liberta,All Saints,Bolans
Argentina,Buenos Aires,Rosario,Córdoba,Mendoza
Armenia,Yerevan,Vanadzor,Gyumri,Vagharshapat
Aruba,Oranjestad,Babijn,Sint Nicolaas,Angochi
Australia,Canberra,Sydney,Melbourne,Perth
Austria,Vienna,Linz,Graz,Salzburg
Azerbaijan,Baku,Samqayit,Ganja,Lankaran
Bahamas,Nassau,Lucaya,Freeport,West End
Bahrain,Manama,Hamad Town,Riffa,Isa Town
Bangladesh,Dhaka,Khulna,Chittagong,Rajshahi
Barbados,Bridgetown,Oistins,Speightstown,Bathsheba
Belarus,Minsk,Mogilev,Gomel,Vitebsk
Belgium,Brussels,Ghent,Antwerp,Charleroi
Belize,Belmopan,Belize City,San Ignacio,Orange Walk
Benin,Porto-Novo,Cotonou,Parakou,Djougou
Bermuda,Hamilton,St. George,Stovel Bay,Cross Bay
Bhutan,Thimphu,Punakha,Phuntsholing,Tsirang
Bolivia,Sucre,Santa Cruz de la Sierra,El Alto,La Paz
Bosnia and Herzegovina,Sarajevo,Zenica,Banja Luka,Tuzla
Botswana,Gaborone,Molepolole,Francistown,Maun
Brazil,Brasília,São Paulo,Rio de Janeiro,Salvador
Brunei,Bandar Seri Begawan,Seria,Kuala Belait,Tutong
Bulgaria,Sofia,Varna,Plovdiv,Burgas
Burkina Faso,Ouagadougou,Koudougou,Bobo-Dioulasso,Ouahigouya
Burundi,Bujumbura,Ruyigi,Muyinga,Gitega
Cambodia,Phnom Penh,Ta Khmau,Battambang,Serei Saophoan
Cameroon,Yaoundé,Douala,Garoua,Kousséri
Canada,Ottawa,Toronto,Montreal,Quebec City
Cape Verde,Praia,Santa Maria,Mindelo,Cova Figueira
Cayman Islands,George Town,Bodden Town,West Bay,East End
Central African Republic,Bangui,Mbaïki,Bimbo,Berbérati
Chad,N'Djamena,Sarh,Moundou,Abéché
Chile,Santiago,Antofagasta,Puente Alto,Valparaíso
China,Beijing,Shanghai,Tianjin,Guangzhou
Taiwan,Taipei,Taichung,Kaohsiung,Tainan City
Christmas Island,Flying Fish Cove,Cove City,Poon Saan,Murray
Cocos Islands,West Island,Bantam,Home Island,East Island
Colombia,Bogotá,Santiago de Cali,Medellín,Barranquilla
Comoros,Moroni,Fomboni,Mutsamudu,Domoni
Democratic Republic of the Congo,Kinshasa,Mbuji-Mayi,Lubumbashi,Kisangani
Republic of the Congo,Brazzaville,Dolisie,Pointe-Noire,Kayes
Cook Islands,Avarua,Omoka,Amuri,Roto
Costa Rica,San José,Puerto Limón,Alajuela,San Francisco
Côte d'Ivoire,Yamoussoukro,Abidjan,Bouaké,Daloa
Croatia,Zagreb,Rijeka,Split,Osijek
Cuba,Havana,Camagüey,Santiago de Cuba,Holguín
Curaçao,Willemstad,Barber,Sint Michiel,Dorp Soto
Cyprus,Nicosia,Larnaca,Limassol,Famagusta
Czech Republic,Prague,Ostrava,Brno,Pilsen 
Denmark,Copenhagen,Odense,Aarhus,Aalborg
Djibouti,Djibouti,?ânan,Ali Sabieh,Tadjoura
Dominica,Roseau,Marigot,Portsmouth,Berekua
Dominican Republic,Santo Domingo,Santo Domingo Oeste,Santiago de los Caballeros,Santo Domingo Este
East Timor,Dili,Same,Dare,Suai
Ecuador,Quito,Guayaquil,Cuenca,Machala
Egypt,Cairo,Giza,Alexandria,Port Said
El Salvador,San Salvador,Soyapango,Santa Ana,San Miguel
Equatorial Guinea,Malabo,Bata,Ebebiyin,Aconibe
Eritrea,Asmara,Massawa,Keren,Assab
Estonia,Tallinn,Narva,Tartu,Pärnu
Ethiopia,Addis Ababa,Nazr?t,Dire Dawa,Bahir Dar
Falkland Islands,Stanley,Port Howard,Goose Green,Port Stephens
Faroe Islands,Tórshavn,Hoyvík,Klaksvík,Argir
Fiji,Suva,Lautoka,Nadi,Labasa
Finland,Helsinki,Tampere,Espoo,Vantaa
France,Paris,Lyon,Marseille,Toulouse
French Guiana,Cayenne,Matoury,Saint-Laurent-du-Maroni,Kourou
French Polynesia,Papeete,Faaa,Mahina,Punaauia
Gabon,Libreville,Franceville,Port-Gentil,Oyem
Gambia,Banjul,Serekunda,Brikama,Bakau
Georgia,Tbilisi,Batumi,Kutaisi,Sukhumi
Germany,Berlin,Munich,Hamburg,Cologne
Ghana,Accra,Tamale,Kumasi,Takoradi
Gibraltar,Tangier,Algeciras,Ceuta,La Línea de la Concepción
Greece,Athens,Pátrai,Thessaloniki,Piraeus
Greenland,Nuuk,Ilulissat,Sisimiut,Qaqortoq
Grenada,St. George's,Grenville,Gouyave,Victoria
Guam,Hagåtña,Tamuning,Mangilao,Dededo Village
Guatemala,Guatemala City,Mixco,Quetzaltenango,Villa Nueva
Guernsey,Saint Peter Port,Sark,Vale,La Seigneurie
Guinea,Conakry,Kindia,Nzérékoré,Kankan
Guinea-Bissau,Bissau,Bafatá,Gabú,Bissorã
Guyana,Georgetown,New Amsterdam,Linden,Anna Regina
Haiti,Port-au-Prince,Delmas,Gonaïves,Pétionville
Honduras,Tegucigalpa,Choloma,San Pedro Sula,La Ceiba
Hong Kong,Victoria,Kowloon,Victoria,Tsuen Wan
Hungary,Budapest,Miskolc,Debrecen,Szeged
Iceland,Reykjavík,Hafnarfjordur,Kópavogur,Akureyri
India,New Delhi,Mumbai,Chennai,Bangalore
Indonesia,Jakarta,Medan,Surabaya,Bandung
Iran,Tehran,Isfahan,Mashhad,Karaj
Iraq,Baghdad,Mosul,Basra,Erbil
Ireland,Dublin,Limerick,Cork,Galway
Isle of Man,Douglas,Ramsey,Onchan,Peel
Israel,Jerusalem,Haifa,Tel Aviv,Rishon LeZion
Italy,Rome,Naples,Milan,Turin
Jamaica,New Kingston,Portmore,Spanish Town,Montego Bay
Japan,Tokyo,Osaka,Yokohama,Nagoya
Jersey,Saint Helier,Saint Clair,Saint Saviour,Saint Peter
Jordan,Amman,Irbid,Zarqa,Russeifa
Kazakhstan,Astana,Almaty,Karagandy,Shymkent
Kenya,Nairobi,Nakuru,Mombasa,Eldoret
Kiribati,Tarawa,Betio,Bairiki,Bikenibeu
North Korea,Pyongyang,Namp’o,Hamhung,Hungnam
South Korea,Seoul,Incheon,Busan,Daegu
Kosovo,Pristina,Gjakovë,Prizren,Mitrovica
Kuwait,Kuwait City,Al Ahmadi,Al Jahra,Hawalli
Kyrgyzstan,Bishkek,Osh City,Osh,Jalal-Abad
Laos,Vientiane,Savannakhét,Pakxe,Luang Prabang
Latvia,Riga,Liep?ja,Daugavpils,Jelgava
Lebanon,Beirut,Sidon,Tripoli,Tyre
Lesotho,Maseru,Mafeteng,Teyateyaneng,Hlotse
Liberia,Monrovia,Kakata,Gbarnga,Bensonville
Libya,Tripoli,Misratah,Benghazi,Tarhuna
Liechtenstein,Vaduz,Schaan,Triesen,Balzers
Lithuania,Vilnius,Klaip?da,Kaunas,Siauliai
Luxembourg,Luxembourg City,Dudelange,Esch-sur-Alzette,Schifflange
Macedonia,Skopje,Kumanovo,Bitola,Prilep
Madagascar,Antananarivo,Antsirabe,Toamasina,Fianarantsoa
Malawi,Lilongwe,Mzuzu,Blantyre,Zomba
Malaysia,Kuala Lumpur,Ipoh,George Town,Johor Bahru
Maldives,Malé,Fuvahmulah,Addu City,Hithadhoo
Mali,Bamako,Mopti,Sikasso,Koutiala
Malta,Valletta,Birkirkara,Mosta,Qormi
Marshall Islands,Majuro,Ebeye,Rita,Arno
Mauritania,Nouakchott,Nema,Nouadhibou,Kaedi
Mauritius,Port Louis,Vacoas,Beau Bassin-Rose Hill,Curepipe
Mayotte,Mamoudzou,Koungou,Dzaoudzi,Dembeni
Mexico,Mexico City,Iztapalapa,Ecatepec,Guadalajara
Federated States of Micronesia,Palikir,Weno,Tofol,Colonia
Moldova,Chisinau,B?l?i,Tiraspol,Tighina
Monaco,Monaco,Monte Carlo,La Condamine,Fontvieille
Mongolia,Ulaanbaatar,Erdenet,Darkhan,Khovd
Montenegro,Podgorica,Pljevlja,Nikšic,Budva
Montserrat,Brades,Cork Hill,Saint Peter's,Salem
Morocco,Rabat,Casablanca,Fez,Salé
Mozambique,Maputo,Matola,Beira,Nampula
Myanmar,Nay Pyi Taw,Yangon,Mandalay,Mawlamyine
Nagorno-Karabakh,Stepanakert,Martuni,Shushi,Martakert
Namibia,Windhoek,Walvis Bay,Rundu,Oshakati
Nauru,Yaren,Anabar,Denigomudu,Uaboe
Nepal,Kathmandu,Patan,Pokhara, Biratnagar
Netherlands,Amsterdam,The Hague,Rotterdam,Utrecht
New Caledonia,Nouméa,Mont-Dore,Dumbéa,Païta
New Zealand,Wellington,Auckland,Christchurch,Manukau
Nicaragua,Managua,Masaya,León,Tipitapa
Niger,Niamey,Maradi,Zinder,Agadez
Nigeria,Abuja,Lagos,Kano,Ibadan
Niue,Alofi,Avatele,Hakupu,Mutalau
Norfolk Island,Kingston,Burnt Pine,Anson Bay,Bumboras
Northern Mariana Islands,San Antonio,Saipan,Garapan,San Jose
Norway,Oslo,Trondheim,Bergen,Stavanger
Oman,Muscat,Seeb,Salalah,Bawshar
Pakistan,Islamabad,Karachi,Lahore,Faisalabad
Palau,Ngerulmud,Koror,Airai,Ulimang
State of Palestine,East Jerusalem,Gaza City,Hebron,Nablus
Panama,Panama City,San Miguelito,Colón,Tocumen
Papua New Guinea,Port Moresby,Arawa,Lae,Popondetta
Paraguay,Asunción,San Lorenzo,Ciudad del Este,Capiatá
Peru,Lima,Callao,Arequipa,Trujillo
Philippines,Manila,Quezon City,Budta,Davao City
Pitcairn Islands,Adamstown,Evetown,George Town,Adamscity
Poland,Warsaw,Wroc?aw,Kraków,Pozna?
Portugal,Lisbon,Amadora,Porto,Braga
Puerto Rico,San Juan,Carolina,Bayamón,Ponce
Qatar,Doha,Al Wakrah,Al Rayyan,Al Khor
Romania,Bucharest,Ia?i,Cluj-Napoca,Timi?oara
Russia,Moscow,Novosibirsk,Saint Petersburg,Yekaterinburg
Rwanda,Kigali,Butare,Gitarama,Ruhengeri
Saint Barthélemy,Gustavia,Flamands,St. Jean,Carénage
Saint Helena,Jamestown,Half Tree Hollow,Georgetown,Levelwood
Saint Kitts and Nevis,Basseterre,Newcastle,Charlestown,Figtree
Saint Lucia,Castries,Bisée,Gros Islet,Vieux Fort
Saint Martin,Marigot,Grand-Case,Rambaud,Simpson Bay
Saint Pierre and Miquelon,Saint Pierre,Saint Clair,Miquelon,Saint Peter
Saint Vincent and the Grenadines,Kingstown,Byera Village,Georgetown,Biabou
Samoa,Apia,Asau,Vaitele,Mulifanua
San Marino,San Marino,Dogana,Borgo Maggiore,Domagnano
São Tomé and Príncipe,São Tomé,Santo António,Trindade,Santana
Saudi Arabia,Riyadh,Mecca,Jeddah,Medina
Senegal,Dakar,Pikine,Touba,Kaolack
Serbia,Belgrade,Niš,Novi Sad,Zemun
Seychelles,Victoria,Anse Boileau,Anse Etoile,Bel Ombre
Sierra Leone,Freetown,Kenema,Bo,Koidu
Singapore,Singapore,Kuala Lumpur,Port city,Singur
Sint Maarten,Prince's Quarter,Koolbaai,Cul De Sac,Philipsburg
Slovakia,Bratislava,Prešov,Košice,Nitra
Slovenia,Ljubljana,Celje,Maribor,Kranj
Solomon Islands,Honiara,Auki,Gizo,Buala
Somalia,Mogadishu,Berbera,Hargeisa,Kismayo
South Africa,Cape Town,Johannesburg,Durban,Soweto
South Georgia and the South Sandwich Islands,King Edward Point,Bristol,Grytviken,Visokoi
South Ossetia,Tskhinvali,Abkhazia,Akhalgori,Zugdidi
South Sudan,Juba,Malakal,Yei,Wau
Spain,Madrid,Valencia,Barcelona,Seville
Sri Lanka,Colombo,Maharagama,Jaffna,Kandy
Sudan,Khartoum,Omdurman,Port Sudan,Kassala
Suriname,Paramaribo,Brokopondo,Lelydorp,Nieuw Nickerie
Svalbard and Jan Mayen,Longyearbyen,Sveagruva,Barentsburg,Ny-Ålesund
Swaziland,Mbabane,Manzini,Big Bend,Malkerns
Sweden,Stockholm,Malmo,Gothenburg,Uppsala
Switzerland,Bern,Zürich,Geneva,Basel
Syria,Damascus,Aleppo,Homs,Hama
Tajikistan,Dushanbe,K?lob,Khujand,Kurgan-Tyube
Tanzania,Dodoma,Dar es Salaam,Mwanza,Arusha
Thailand,Bangkok,Samut Prakan,Nonthaburi,Udon Thani 
Togo,Lomé,Kara,Sokodé,Atakpamé
Tokelau,None,Fakaofo,Atafu,Nukunonu
Tonga,Nuku'alofa,Haveluloto,Neiafu,Vaini
Transnistria,Tiraspol,Rîbni?a,Tighina,Camenca
Trinidad and Tobago,Port of Spain,Chaguanas,San Fernando,Mon Repos
Tunisia,Tunis,Sousse,Sfax,Midoun
Turkey,Ankara,Istanbul,Bursa,Adana
Turkmenistan,Ashgabat,Dashoguz,Türkmenabat,Mary
Turks and Caicos Islands,Cockburn Town,Five Cays,Honda Road,Bottle Creek
Tuvalu,Funafuti,Savave Village,Asau,Teava Village
Uganda,Kampala,Lira,Gulu,Mbarara
Ukraine,Keiv,Odessa,Kharkiv,Dnipro
United Arab Emirates,Abu Dhabi,Dubai,Sharjah,Al Ain
United Kingdom,London,Glasgow,Birmingham,Liverpool
United States of America,Washington D.C.,New York City,Los Angeles,Chicago
Uruguay,Montevideo,Salto,Paysandú,Las Piedras
Uzbekistan,Tashkent,Samarkand,Namangan,Andijan
Vanuatu,Port Vila,Norsup,Luganville,Port Olry
Vatican City,Vatican City,Sistine Chapel,Farmacia Vaticana,Rome
Venezuela,Caracas,Maracay,Maracaibo,Valencia
Vietnam,Hanoi,Ho Chi Minh City,Can Tho,Danang
Virgin Islands British,Road Town,Great Harbour,Spanish Town,Belle Vue
Virgin Islands United States,Charlotte Amalie,Christiansted,Anna's Retreat,Magens Bay
Wallis and Futuna,Mata-Utu,Liku,Alele,Falaleu
Western Sahara,Laayoune,Smara,Dakhla,Laayoune Plage
Yemen,Sana'a,Al Hudaydah,Aden,Ta‘izz
Zambia,Lusaka,Ndola,Kitwe,Kabwe
Zimbabwe,Harare,Chitungwiza,Bulawayo,Mutare
